term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
disfraz de halloween para mujeres,551.0,118011.0,30402.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
b0chwrxh8b,557.0,1383.0,970.0,2,2025-11,2025-12,,False,2025-11;2025-12
iphone 17 screen protector,559.0,1004.0,729.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
fathers day,569.0,101998.0,5346.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
prefilled easter eggs,588.0,154856.0,10109.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
calm drink mix,600.0,600.0,600.0,1,2025-12,2025-12,,False,2025-12
pottery barn fall decor,601.0,9609.0,3240.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
valentines cards for kids classroom,640.0,1901.0,1270.5,2,2025-01,2025-02,,False,2025-01;2025-02
father's day gifts,653.0,84163.0,4285.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
kava drops,655.0,3982.0,2409.0,4,2025-06,2025-12,,False,2025-06;2025-08;2025-09;2025-12
white elephant christmas gifts,663.0,78309.0,22305.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
varicose veins treatment,670.0,39009.0,19839.5,2,2025-04,2025-05,,False,2025-04;2025-05
capris for seniors,675.0,12793.0,6734.0,2,2025-05,2025-06,,False,2025-05;2025-06
valentines day decor,682.0,16856.0,8125.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
luxury outfits for women,699.0,104419.0,52559.0,2,2025-11,2025-12,,False,2025-11;2025-12
turbotax 2024 deluxe,712.0,2503.0,1005.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
a quite place,733.0,2108.0,1420.5,2,2025-01,2025-02,,False,2025-01;2025-02
roofman,735.0,23756.0,2778.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
spring tops deals,740.0,121773.0,4744.0,3,2025-03,2025-06,,False,2025-03;2025-05;2025-06
valentines day gifts for kids classroom,742.0,5256.0,2999.0,2,2025-01,2025-02,,False,2025-01;2025-02
thanksgiving shirts for women,742.0,109627.0,20831.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
halloween treat bags,743.0,191671.0,19690.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
christmas outfits for women,747.0,86682.0,9184.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
mothers day gifts for wife,750.0,5316.0,3033.0,2,2025-04,2025-05,,False,2025-04;2025-05
nmn supplement 1000mg,755.0,755.0,755.0,1,2025-12,2025-12,,False,2025-12
easter basket stuffers for teens,766.0,37694.0,4356.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
freedom shirt,766.0,60392.0,23432.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
a charlie brown christmas,781.0,195581.0,33949.0,4,2025-01,2025-12,,False,2025-01;2025-10;2025-11;2025-12
nobody's girl virginia giuffre,784.0,17369.0,6475.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
gifts for people with dementia,800.0,51007.0,2574.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
new years decorations 2026,813.0,42821.0,21817.0,2,2025-11,2025-12,,False,2025-11;2025-12
nadh supplement,815.0,1795.0,1305.0,2,2025-08,2025-09,,False,2025-08;2025-09
kids magnesium drops,821.0,1515.0,1168.0,2,2025-11,2025-12,,False,2025-11;2025-12
one battle after another,832.0,27744.0,3658.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
garden hose 75ft,833.0,66359.0,8998.0,4,2025-04,2025-07,,False,2025-04;2025-05;2025-06;2025-07
nmn resveratrol,861.0,60106.0,2180.0,3,2025-07,2025-09,,False,2025-07;2025-08;2025-09
toddler halloween costume,864.0,102905.0,10987.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
black hair soap bar,869.0,28967.0,8496.5,4,2025-07,2025-12,,False,2025-07;2025-10;2025-11;2025-12
iron drops for women,872.0,872.0,872.0,1,2025-01,2025-01,,False,2025-01
plastic easter eggs,882.0,168993.0,21194.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
mens halloween costumes for 2025,898.0,84601.0,16878.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
plus size halloween costumes woman 2025,904.0,110809.0,13916.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
merv,917.0,41928.0,21422.5,2,2025-11,2025-12,,False,2025-11;2025-12
girls halloween costume,930.0,35642.0,4826.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
salmon dna ampoule,933.0,69615.0,64254.0,3,2025-06,2025-12,,False,2025-06;2025-11;2025-12
keto acv gummies advanced weight loss,938.0,181408.0,1753.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
maintenance required,939.0,78491.0,20506.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
nurse appreciation gifts,956.0,35970.0,18463.0,2,2025-04,2025-05,,False,2025-04;2025-05
iphone air case,957.0,3567.0,2704.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
adult halloween costumes woman,963.0,32055.0,6423.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
easter dress,976.0,157490.0,15604.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
pijamas de navidad para familia,979.0,74204.0,10402.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
boys halloween costume,981.0,53581.0,6469.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
freedom shirt charlie kirk,990.0,22615.0,9364.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
advanced hair regrowth,993.0,993.0,993.0,1,2025-09,2025-09,,False,2025-09
holiday dresses for women,996.0,101852.0,9846.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
mother's day gifts,1003.0,133282.0,36248.0,4,2025-02,2025-05,,False,2025-02;2025-03;2025-04;2025-05
laptops on sale clearance 2024,1004.0,122150.0,21813.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
easter baskets,1010.0,99210.0,8618.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
pluribus,1019.0,1028.0,1023.5,2,2025-11,2025-12,,False,2025-11;2025-12
glass bear cup,1023.0,49401.0,25212.0,2,2025-11,2025-12,,False,2025-11;2025-12
halloween costume,1027.0,85606.0,15589.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
purple hair spray,1030.0,138735.0,25474.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
fall jackets,1031.0,53415.0,5166.5,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
prisoner costume men,1034.0,26186.0,13610.0,2,2025-09,2025-10,,False,2025-09;2025-10
statement holiday dress women,1036.0,85616.0,43326.0,2,2025-10,2025-11,,False,2025-10;2025-11
welcome to derry it,1047.0,6704.0,3875.5,2,2025-11,2025-12,,False,2025-11;2025-12
morticia addams costume,1061.0,135492.0,7888.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
valentines day candy,1070.0,176520.0,57016.0,4,2025-01,2025-12,,False,2025-01;2025-02;2025-03;2025-12
halloween costumes for women,1099.0,95686.0,18337.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
rakhi for brother,1122.0,99601.0,1998.0,3,2025-06,2025-08,,False,2025-06;2025-07;2025-08
halloween goodie bags,1136.0,56577.0,7442.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
thanksgiving napkins,1148.0,65146.0,12685.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
christmas gifts for teens,1175.0,3483.0,2198.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
17 pro max case,1178.0,1476.0,1352.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
easter tablecloth,1180.0,86604.0,13332.5,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
stop in the name of god charlie kirk,1182.0,160613.0,37511.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
women halloween costumes adult,1191.0,193795.0,31687.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
anthropology fall decor,1192.0,43202.0,2183.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
tell me softly,1195.0,172559.0,86877.0,2,2025-11,2025-12,,False,2025-11;2025-12
tinnitus relief patch,1197.0,24332.0,6070.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
diwali decorations for home,1198.0,53084.0,10552.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
valentine candy,1212.0,166193.0,3257.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
tiffany & co.,1223.0,179321.0,21384.5,4,2025-01,2025-07,,False,2025-01;2025-05;2025-06;2025-07
boo basket stuffers,1223.0,32952.0,2451.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
ergothioneine,1238.0,1238.0,1238.0,1,2025-12,2025-12,,False,2025-12
charlie kirk merch,1244.0,138187.0,69152.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
1929 andrew ross sorkin,1253.0,64696.0,5397.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
daphne costume women,1260.0,128004.0,30698.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
anti yeast drops for dogs,1273.0,1273.0,1273.0,1,2025-12,2025-12,,False,2025-12
halloween pajamas women,1274.0,33739.0,7192.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
fall dress deals,1310.0,38896.0,11272.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
easter eggs filled,1312.0,30747.0,4401.0,3,2025-02,2025-04,,False,2025-02;2025-03;2025-04
fourth of july outfit women,1316.0,115707.0,17541.5,4,2025-04,2025-07,,False,2025-04;2025-05;2025-06;2025-07
coach handbags on sale,1329.0,2411.0,2245.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
best boho chic decor,1358.0,7394.0,2167.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
john candy,1359.0,42554.0,13652.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
val kilmer,1359.0,141921.0,51395.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
self-adhesive false eyelashes,1362.0,42340.0,25694.0,3,2025-01,2025-04,,False,2025-01;2025-02;2025-04
bear cup,1368.0,31631.0,16499.5,2,2025-11,2025-12,,False,2025-11;2025-12
dorm organizers and storage,1375.0,71300.0,36337.5,2,2025-08,2025-09,,False,2025-08;2025-09
ugly sweater,1384.0,74888.0,10601.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
fall boots for women,1386.0,174015.0,34741.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
cop costume women,1399.0,121628.0,39596.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
halloween costumes for girls,1400.0,91706.0,14400.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
men stocking stuffers,1401.0,70680.0,5311.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
kids valentines day gifts for school,1401.0,4076.0,2738.5,2,2025-01,2025-02,,False,2025-01;2025-02
couples costumes,1412.0,154690.0,35855.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
freddy krueger costume,1429.0,129683.0,30326.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
funny halloween costumes,1430.0,51054.0,8325.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
wednesday addams costume girls,1433.0,11295.0,6364.0,2,2025-09,2025-10,,False,2025-09;2025-10
gifts for people who are always cold,1437.0,14156.0,7796.5,2,2025-11,2025-12,,False,2025-11;2025-12
milk thistle drops,1444.0,15091.0,7387.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
superbowl party decorations 2025,1457.0,4246.0,2851.5,2,2025-01,2025-02,,False,2025-01;2025-02
friendsgiving party decorations,1463.0,85807.0,7875.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
wormwood tincture,1467.0,70241.0,8243.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
velma costume women,1468.0,116052.0,28835.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
chucky costume women,1493.0,86353.0,15309.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
it: welcome to derry,1499.0,13388.0,1841.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
linen clothes,1502.0,31070.0,3320.0,4,2025-05,2025-08,,False,2025-05;2025-06;2025-07;2025-08
yeast infection drops for dogs,1504.0,1504.0,1504.0,1,2025-12,2025-12,,False,2025-12
rose viboators toys,1507.0,2770.0,2138.5,2,2025-01,2025-02,,False,2025-01;2025-02
gifts for people who love baking,1513.0,153052.0,77282.5,2,2025-11,2025-12,,False,2025-11;2025-12
mothers day gift,1516.0,128569.0,56700.5,4,2025-03,2025-06,,False,2025-03;2025-04;2025-05;2025-06
louis vuitton pochette,1523.0,24150.0,9462.0,4,2025-08,2025-12,,False,2025-08;2025-10;2025-11;2025-12
4th of july shirts for men,1525.0,38113.0,10341.0,3,2025-05,2025-07,,False,2025-05;2025-06;2025-07
the conjuring: last rites,1529.0,9657.0,2929.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
stocking stuffers for boys,1546.0,171198.0,22988.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
heart sweater for women,1548.0,84426.0,1980.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
iphone 17 pro,1548.0,2822.0,2141.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
thanksgiving table decor,1556.0,198813.0,39819.0,4,2025-08,2025-11,,False,2025-08;2025-09;2025-10;2025-11
fall boots deals,1559.0,59973.0,4068.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
the map that leads you,1568.0,67026.0,34297.0,2,2025-07,2025-08,,False,2025-07;2025-08
bakuchiol plumping serum,1572.0,123590.0,62581.0,2,2025-07,2025-08,,False,2025-07;2025-08
womens christmas pajamas,1576.0,95013.0,12242.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
100 days of school,1587.0,9478.0,5532.5,2,2025-01,2025-02,,False,2025-01;2025-02
charlie kirk freedom shirt,1597.0,65384.0,31942.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
minion costume adult,1615.0,145599.0,14912.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
christmas garage,1623.0,124760.0,63191.5,2,2025-11,2025-12,,False,2025-11;2025-12
new years eve dress women,1627.0,188417.0,64873.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
lightweight tops & blouses,1629.0,157620.0,8861.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
original sin jake tapper,1641.0,147379.0,46359.5,4,2025-04,2025-07,,False,2025-04;2025-05;2025-06;2025-07
new years eve party supplies 2026,1650.0,77034.0,39342.0,2,2025-11,2025-12,,False,2025-11;2025-12
mothers day gifts for grandma,1659.0,9669.0,5664.0,2,2025-04,2025-05,,False,2025-04;2025-05
turkey brine kit,1670.0,33386.0,31108.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
ralph lauren christmas decor,1689.0,15379.0,7038.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
christmas sprinkles,1691.0,129332.0,22399.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
christmas lego sets,1704.0,76904.0,9563.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
collagen peptides powder for women,1711.0,28453.0,27951.0,3,2025-01,2025-03,,False,2025-01;2025-02;2025-03
juneteenth shirts women,1717.0,110238.0,12317.0,3,2025-04,2025-06,,False,2025-04;2025-05;2025-06
wrapping paper christmas,1720.0,79206.0,13837.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
cinco de mayo decorations,1741.0,91702.0,20039.5,4,2025-02,2025-05,,False,2025-02;2025-03;2025-04;2025-05
apple watch ultra 3,1746.0,4044.0,3980.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
denim jeans,1752.0,170674.0,157734.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
the grinch who stole christmas moviesa,1753.0,162927.0,40898.0,4,2025-01,2025-04,,False,2025-01;2025-02;2025-03;2025-04
valentines day,1758.0,13948.0,1995.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
kids halloween costumes,1759.0,157656.0,17761.0,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
ginseng essence anti wrinkle essence,1761.0,64862.0,48581.0,3,2025-06,2025-08,,False,2025-06;2025-07;2025-08
100 days of school shirt,1767.0,149649.0,2465.0,3,2025-01,2025-12,,False,2025-01;2025-02;2025-12
early christmas gift ideas,1768.0,37640.0,6269.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
play date,1773.0,14326.0,9171.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
cheetah ears,1788.0,139951.0,35050.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
halloween makeup,1791.0,71784.0,15212.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
stocking holder,1799.0,143046.0,16754.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
nike clothes for women,1808.0,33183.0,19448.5,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
after the hunt,1808.0,5146.0,3477.0,2,2025-11,2025-12,,False,2025-11;2025-12
coraline costume,1815.0,120087.0,25766.5,4,2025-07,2025-10,,False,2025-07;2025-08;2025-09;2025-10
boho summer dresses 2025,1834.0,72766.0,14515.5,4,2025-06,2025-09,,False,2025-06;2025-07;2025-08;2025-09
galentines gifts,1845.0,3221.0,2533.0,2,2025-01,2025-02,,False,2025-01;2025-02
plus size women blouses,1846.0,86888.0,12245.5,4,2025-06,2025-10,,False,2025-06;2025-07;2025-09;2025-10
the chrisleys: back to reality,1849.0,152858.0,36304.0,3,2025-09,2025-11,,False,2025-09;2025-10;2025-11
regretting you movie,1850.0,27878.0,14864.0,2,2025-11,2025-12,,False,2025-11;2025-12
summer tops for seniors,1864.0,1864.0,1864.0,1,2025-05,2025-05,,False,2025-05
christmas sweater men,1865.0,65291.0,7372.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
christmas music,1880.0,123282.0,21729.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
women's uggs,1885.0,55498.0,3512.0,3,2025-10,2025-12,,False,2025-10;2025-11;2025-12
bear cup with straw,1888.0,52236.0,27062.0,2,2025-11,2025-12,,False,2025-11;2025-12
dorm essentials for guys,1890.0,32254.0,6379.0,4,2025-05,2025-08,,False,2025-05;2025-06;2025-07;2025-08
little red riding hood costume adult,1897.0,96303.0,16372.0,3,2025-08,2025-10,,False,2025-08;2025-09;2025-10
christmas sweatshirt,1898.0,129265.0,18121.0,4,2025-09,2025-12,,False,2025-09;2025-10;2025-11;2025-12
