term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
zox bible verse bracelet,38909.0,167122.0,141208.0,5,2025-08,2025-12,,True
the christmas ring karen kingsbury,39070.0,93249.0,43164.0,3,2025-10,2025-12,,True
bead bracelet making kit,39507.0,131460.0,81156.0,7,2025-06,2025-12,0.4172171995589857,True
christmas candle rings,40629.0,176093.0,73428.0,3,2025-10,2025-12,,True
christmas tree earrings,40714.0,82286.0,61500.0,2,2025-11,2025-12,,True
to my daughter necklace,41248.0,199019.0,104364.0,3,2025-10,2025-12,,True
jewelry for teen girls,41792.0,72655.0,57223.5,2,2025-11,2025-12,,True
hematite bracelet men,43970.0,167943.0,70349.0,5,2025-08,2025-12,,True
snowflake necklace,44287.0,75260.0,59773.5,2,2025-11,2025-12,,True
christmas brooch,46742.0,74494.0,60618.0,2,2025-11,2025-12,,True
birthstone bracelet,46969.0,185751.0,156446.5,8,2025-05,2025-12,0.5532291746389251,True
the seven rings nora roberts book 3,47008.0,171753.0,113057.0,3,2025-10,2025-12,,True
new years earrings,47237.0,47237.0,47237.0,1,2025-12,2025-12,,True
ring 4k,47474.0,122651.0,69606.0,3,2025-10,2025-12,,True
pavoi necklace gold,48363.0,151671.0,87385.0,9,2025-04,2025-12,0.4063599731363331,True
baby rattles & plush rings,48509.0,147854.0,68844.0,5,2025-08,2025-12,,True
jingle bell necklace,52652.0,124192.0,88422.0,2,2025-11,2025-12,,True
jewelry organizer hanging,53105.0,179325.0,75332.0,9,2025-04,2025-12,1.679379281049222,True
bracelet maker machine,53174.0,189767.0,88546.0,7,2025-06,2025-12,0.7551352276617597,True
holiday earrings for women,53251.0,144453.0,91186.0,3,2025-10,2025-12,,True
taylor swift ring engagement,54639.0,54639.0,54639.0,1,2025-12,2025-12,,True
teen jewelry,54835.0,81364.0,68099.5,2,2025-11,2025-12,,True
snowflake earrings for women,55250.0,154926.0,105088.0,2,2025-11,2025-12,,True
christmas charms for jewelry making,55659.0,194473.0,114322.5,4,2025-09,2025-12,,True
wicked earrings,55959.0,166448.0,143581.0,3,2025-10,2025-12,,True
christmas bracelets for women,56784.0,102302.0,79543.0,2,2025-11,2025-12,,True
bracelet kit for kids 4-6,56869.0,155164.0,71792.0,3,2025-10,2025-12,,True
christmas lights necklace light up,57174.0,148366.0,102770.0,2,2025-11,2025-12,,True
rings for girls,59189.0,154430.0,117458.5,4,2025-09,2025-12,,True
coach earrings,59732.0,187253.0,162121.5,4,2025-09,2025-12,,True
copper magnetic bracelet for men,62476.0,199671.0,111924.0,5,2025-08,2025-12,,True
gold choker necklace,63016.0,188370.0,142373.0,8,2025-05,2025-12,0.6821270922826248,True
christmas bow earrings,63115.0,137437.0,100276.0,2,2025-11,2025-12,,True
volleyball necklace,63322.0,189798.0,81665.0,5,2025-08,2025-12,,True
earrings dangle,63602.0,181652.0,97055.0,5,2025-08,2025-12,,True
christmas necklaces,63759.0,101496.0,82627.5,2,2025-11,2025-12,,True
womens jewelry trendy 2025,64298.0,134443.0,106651.0,8,2025-05,2025-12,0.9162285861333725,True
december birthstone necklace,64691.0,133573.0,99132.0,2,2025-11,2025-12,,True
kendra scott bow necklace,65517.0,68212.0,66864.5,2,2025-11,2025-12,,True
hug ring,65730.0,188788.0,129526.0,6,2025-07,2025-12,0.7033164095307995,True
daughter necklace from dad,65826.0,196941.0,131383.5,2,2025-11,2025-12,,True
pearl stud earrings,65973.0,142451.0,97351.5,8,2025-05,2025-12,0.8468764044943821,True
daughter necklace,66032.0,163750.0,114891.0,2,2025-11,2025-12,,True
wicked bracelets,66514.0,130125.0,98319.5,2,2025-11,2025-12,,True
christmas beads for jewelry making,66573.0,148483.0,137765.0,3,2025-10,2025-12,,True
gingerbread earrings,67374.0,117223.0,92298.5,2,2025-11,2025-12,,True
magnetic screw ring,67392.0,67392.0,67392.0,1,2025-12,2025-12,,True
christmas ring,68307.0,106298.0,87302.5,2,2025-11,2025-12,,True
chain for pants,68335.0,192668.0,134878.0,9,2025-04,2025-12,0.9380341638460928,True
spiked bracelets,68749.0,196583.0,140903.0,7,2025-06,2025-12,0.9292370394307308,True
bonus daughter necklace,68980.0,135594.0,102287.0,2,2025-11,2025-12,,True
to my wife necklace from husband,69039.0,158636.0,113837.5,2,2025-11,2025-12,,True
nutcracker earrings,69962.0,99249.0,84605.5,2,2025-11,2025-12,,True
triangle chain strategy board game,70130.0,149660.0,94922.0,5,2025-08,2025-12,,True
hematite bracelet,71300.0,146485.0,89891.0,8,2025-05,2025-12,0.6937740067648913,True
jump rings for jewelry,72236.0,164516.0,93728.5,6,2025-07,2025-12,1.3636363636363635,True
ardant earrings,72406.0,148580.0,110493.0,2,2025-11,2025-12,,True
mens jewelry organizer,72430.0,196134.0,166660.0,9,2025-04,2025-12,0.6312791460309755,True
jewelry making kit for adults,73145.0,184608.0,141379.0,4,2025-09,2025-12,,True
christmas brooches for women,73555.0,114442.0,93998.5,2,2025-11,2025-12,,True
paper chain garland,73705.0,98936.0,86320.5,2,2025-11,2025-12,,True
little girl jewelry box,73790.0,194473.0,129998.0,4,2025-09,2025-12,,True
travel jewelry case small,74914.0,166780.0,115678.0,4,2025-09,2025-12,,True
name necklace for girls,75037.0,129555.0,102296.0,2,2025-11,2025-12,,True
charm bracelets for girls,76674.0,144778.0,110726.0,2,2025-11,2025-12,,True
cooper bracelet for women,76879.0,184069.0,107636.0,9,2025-04,2025-12,0.5381627432112094,True
taylor swift engagement ring,77098.0,77098.0,77098.0,1,2025-12,2025-12,,True
wrestling ring,77661.0,111390.0,94525.5,2,2025-11,2025-12,,True
christmas earrings for girls,78160.0,98647.0,88403.5,2,2025-11,2025-12,,True
earring gift box,78179.0,178934.0,128556.5,2,2025-11,2025-12,,True
make it real purr-fect wash 'n bead bracelets,79177.0,193072.0,102412.0,3,2025-10,2025-12,,True
gold earrings dangle,79250.0,127916.0,104633.5,4,2025-09,2025-12,,True
hand chain bracelet gold,79388.0,179806.0,101808.0,7,2025-06,2025-12,1.9938454912272747,True
birthstones chart,79669.0,148858.0,114263.5,2,2025-11,2025-12,,True
the seven rings,79761.0,169290.0,124525.5,2,2025-11,2025-12,,True
cat ring holder,79966.0,108045.0,94005.5,2,2025-11,2025-12,,True
star of david necklace,80131.0,151878.0,133545.0,4,2025-09,2025-12,,True
birthstone jewelry,80361.0,158378.0,119369.5,2,2025-11,2025-12,,True
musical jewelry box for girls,80486.0,197512.0,99934.0,3,2025-10,2025-12,,True
inserts for rings that are too big,80856.0,130022.0,83654.0,3,2025-10,2025-12,,True
925 sterling silver bracelet,81236.0,149985.0,125429.0,5,2025-08,2025-12,,True
cool maker stack'd heishi bracelet studio,81654.0,169779.0,168217.0,3,2025-10,2025-12,,True
christmas tree earrings for women,81806.0,170386.0,126096.0,2,2025-11,2025-12,,True
earrings for teen girls,83899.0,144365.0,114132.0,2,2025-11,2025-12,,True
stranger things jewelry,84275.0,84275.0,84275.0,1,2025-12,2025-12,,True
hair tie bracelets,84357.0,137744.0,111050.5,2,2025-11,2025-12,,True
light up necklace,85090.0,187004.0,121917.0,3,2025-10,2025-12,,True
mother daughter jewelry,86437.0,86437.0,86437.0,1,2025-12,2025-12,,True
new years earrings for women,86544.0,86544.0,86544.0,1,2025-12,2025-12,,True
gld chains men,86668.0,174938.0,167464.5,6,2025-07,2025-12,0.6959912722545902,True
opal jewelry,87213.0,151661.0,129437.5,4,2025-09,2025-12,,True
granddaughter necklace,87308.0,115260.0,101284.0,2,2025-11,2025-12,,True
boys bracelets,88054.0,153383.0,120718.5,2,2025-11,2025-12,,True
hair jewelry for girls,88131.0,175477.0,90720.0,3,2025-10,2025-12,,True
christmas earrings studs,88555.0,122640.0,105597.5,2,2025-11,2025-12,,True
christmas earrings bulk,88737.0,102302.0,95519.5,2,2025-11,2025-12,,True
white gold necklace,88855.0,192190.0,142390.5,4,2025-09,2025-12,,True
snowman earrings,88993.0,191917.0,140455.0,2,2025-11,2025-12,,True
wwe money in the bank ring,89053.0,145887.0,115810.0,3,2025-10,2025-12,,True
sister necklace,89083.0,89083.0,89083.0,1,2025-12,2025-12,,True
pink christmas earrings,89419.0,139912.0,114665.5,2,2025-11,2025-12,,True
wicked jewelry,89454.0,143581.0,116517.5,2,2025-11,2025-12,,True
gold choker necklaces for women,89870.0,196421.0,158636.0,5,2025-08,2025-12,,True
rings of fate,90093.0,90093.0,90093.0,1,2025-12,2025-12,,True
witches knot ring,90662.0,90662.0,90662.0,1,2025-12,2025-12,,True
napkin rings set of 8,90741.0,121390.0,106065.5,2,2025-11,2025-12,,True
fahlo bracelet,90942.0,113819.0,102380.5,2,2025-11,2025-12,,True
kendra scott necklaces,91091.0,197328.0,143716.5,4,2025-09,2025-12,,True
necklace box gift,91611.0,163750.0,127680.5,2,2025-11,2025-12,,True
kendra scott elisa pendant necklace,92154.0,111390.0,101772.0,2,2025-11,2025-12,,True
girls' charm bracelets,92549.0,144652.0,118600.5,2,2025-11,2025-12,,True
snowflake necklace for women,92660.0,187900.0,140280.0,2,2025-11,2025-12,,True
chunky bracelets,93637.0,179207.0,133958.0,9,2025-04,2025-12,1.2115329148868959,True
kindle charm,93721.0,182123.0,140208.0,7,2025-06,2025-12,1.2518526177920242,True
vayro ring original magnetic wellness ring,93836.0,166912.0,133382.0,4,2025-09,2025-12,,True
women's body piercing jewelry,94133.0,156083.0,140403.0,4,2025-09,2025-12,,True
necklaces for girls,94240.0,120702.0,107471.0,2,2025-11,2025-12,,True
grandson bracelet,94489.0,142134.0,118311.5,2,2025-11,2025-12,,True
lynsie charm bookmark pen holder,95207.0,141060.0,119371.0,3,2025-10,2025-12,,True
locket ring,95683.0,159182.0,119721.0,6,2025-07,2025-12,1.2845672028917525,True
christmas bracelet,95838.0,129342.0,112590.0,2,2025-11,2025-12,,True
christmas slap bracelets,96502.0,178832.0,137667.0,2,2025-11,2025-12,,True
christmas croc charms,96605.0,160782.0,128693.5,2,2025-11,2025-12,,True
women's link bracelets,96754.0,183234.0,131541.0,5,2025-08,2025-12,,True
hug ring for granddaughter,96770.0,189456.0,129925.0,3,2025-10,2025-12,,True
mini jewelry travel pouch,96834.0,120745.0,108789.5,2,2025-11,2025-12,,True
mistletoe belly ring,97616.0,141414.0,119515.0,2,2025-11,2025-12,,True
kids jewelry making kit,97662.0,125656.0,111659.0,2,2025-11,2025-12,,True
necklace layering clasp,97931.0,190197.0,145142.0,5,2025-08,2025-12,,True
gold earrings studs,98045.0,160950.0,128087.0,6,2025-07,2025-12,0.8549330666945244,True
boot cuffs,98047.0,131806.0,106284.0,3,2025-10,2025-12,,True
toddler jewelry box,98081.0,103821.0,100951.0,2,2025-11,2025-12,,True
bow necklace gold,98284.0,134836.0,116560.0,2,2025-11,2025-12,,True
christmas pins and brooches,98338.0,156166.0,127252.0,2,2025-11,2025-12,,True
zox bracelets,98882.0,98882.0,98882.0,1,2025-12,2025-12,,True
ring stopper for loose rings,98962.0,194321.0,134530.0,3,2025-10,2025-12,,True
st christopher necklace,98995.0,173157.0,156976.0,5,2025-08,2025-12,,True
hidden helix jewelry,99028.0,134566.0,117417.5,6,2025-07,2025-12,1.0485453831726785,True
gorjana jewelry,99236.0,186889.0,143062.5,2,2025-11,2025-12,,True
huggie hoop earrings,99715.0,190961.0,115250.0,6,2025-07,2025-12,0.5985215565000248,True
cooper bracelet for man,99989.0,174634.0,118788.0,5,2025-08,2025-12,,True
chain necklaces for women,100021.0,174106.0,146577.0,5,2025-08,2025-12,,True
jewelry pack,100488.0,153180.0,123537.0,5,2025-08,2025-12,,True
coach charm,100691.0,100691.0,100691.0,1,2025-12,2025-12,,True
candy cane earrings for women,101171.0,101171.0,101171.0,1,2025-12,2025-12,,True
purse chain charm,101448.0,163936.0,146020.0,4,2025-09,2025-12,,True
fur cuffs for arms,101708.0,166894.0,134301.0,2,2025-11,2025-12,,True
little girls jewelry box,101862.0,116072.0,108967.0,2,2025-11,2025-12,,True
gold bow necklace,102156.0,145280.0,123718.0,2,2025-11,2025-12,,True
gold beaded bracelets,103062.0,184938.0,139049.0,9,2025-04,2025-12,0.6538982813211979,True
stacking rings baby toy,103233.0,187993.0,161546.5,4,2025-09,2025-12,,True
kendra scott volleyball necklace,103344.0,104878.0,104111.0,2,2025-11,2025-12,,True
dainty earrings,103821.0,192415.0,127597.0,6,2025-07,2025-12,1.1173883823004738,True
girls rings,103940.0,146995.0,125467.5,2,2025-11,2025-12,,True
ours ring gen 4 cover,104004.0,165908.0,134956.0,2,2025-11,2025-12,,True
emo bracelets,104393.0,163046.0,145278.0,8,2025-05,2025-12,0.8667698031198777,True
daughter bracelet,104732.0,104732.0,104732.0,1,2025-12,2025-12,,True
new years eve earrings,104994.0,104994.0,104994.0,1,2025-12,2025-12,,True
cat earrings for women,105445.0,197198.0,151321.5,2,2025-11,2025-12,,True
christmas necklace lights,106142.0,106142.0,106142.0,1,2025-12,2025-12,,True
backless earrings,106284.0,123148.0,114716.0,2,2025-11,2025-12,,True
mini embroidery hoops,107363.0,162313.0,134838.0,2,2025-11,2025-12,,True
real gold earrings,107868.0,157648.0,144718.0,5,2025-08,2025-12,,True
gold plated bracelet,108030.0,172584.0,147572.0,5,2025-08,2025-12,,True
christmas stud earrings,108414.0,138238.0,123326.0,2,2025-11,2025-12,,True
bracelet kit for kids ages 8-12,108670.0,139392.0,124031.0,2,2025-11,2025-12,,True
montana silversmith jewelry,108997.0,108997.0,108997.0,1,2025-12,2025-12,,True
paperclip necklace,109139.0,197078.0,173471.0,8,2025-05,2025-12,0.8812218908175364,True
jewelry jar,109213.0,154412.0,131812.5,2,2025-11,2025-12,,True
hope rings for granddaughter,109272.0,147669.0,137065.0,3,2025-10,2025-12,,True
lip gloss charms,109492.0,142134.0,125813.0,2,2025-11,2025-12,,True
gold stackable rings,109531.0,156753.0,129539.0,5,2025-08,2025-12,,True
black bracelet,109757.0,193418.0,180912.0,9,2025-04,2025-12,0.9694940165950882,True
christmas necklaces bulk,110175.0,180900.0,145537.5,2,2025-11,2025-12,,True
silver cleaner jewelry,110181.0,185454.0,166541.0,8,2025-05,2025-12,0.825637755855074,True
lip balm ring,110279.0,167662.0,135201.5,4,2025-09,2025-12,,True
pavoi jewelry for women,110339.0,189835.0,172013.0,4,2025-09,2025-12,,True
fidget ring for kids,110371.0,169243.0,128029.0,5,2025-08,2025-12,,True
ring sizers for measuring,110753.0,169331.0,136351.0,7,2025-06,2025-12,0.8425934508691595,True
jewelry dish tray,111133.0,162750.0,136941.5,2,2025-11,2025-12,,True
ziella necklace for my wife love letter,111490.0,130351.0,120920.5,2,2025-11,2025-12,,True
gold plated jewelry,111530.0,184726.0,158926.5,6,2025-07,2025-12,0.9813801271661887,True
tiffany necklace,111922.0,158142.0,116009.5,4,2025-09,2025-12,,True
wedding rings for couples,111968.0,173011.0,124277.0,4,2025-09,2025-12,,True
free luma christian bracelet,112698.0,112698.0,112698.0,1,2025-12,2025-12,,True
tiffany bracelet,113168.0,190836.0,163341.0,4,2025-09,2025-12,,True
coach earrings for women,113332.0,113332.0,113332.0,1,2025-12,2025-12,,True
engagement ring holder,113731.0,194795.0,155575.0,8,2025-05,2025-12,0.9013122251940394,True
steering wheel charm,114334.0,114334.0,114334.0,1,2025-12,2025-12,,True
helix hoop earring,114566.0,157317.0,141602.0,5,2025-08,2025-12,,True
christmas nose rings,114808.0,161842.0,138325.0,2,2025-11,2025-12,,True
gold hoops non tarnish,115347.0,184261.0,143641.0,9,2025-04,2025-12,1.1400394201601969,True
kindle page turner ring,115463.0,178435.0,146949.0,2,2025-11,2025-12,,True
girl jewelry,115678.0,182581.0,149129.5,2,2025-11,2025-12,,True
customized necklace,115846.0,183520.0,149683.0,2,2025-11,2025-12,,True
daughter bracelets from mom,115846.0,115846.0,115846.0,1,2025-12,2025-12,,True
earrings for teens,116044.0,170951.0,143497.5,2,2025-11,2025-12,,True
moissanite stud earrings,116164.0,187988.0,152076.0,2,2025-11,2025-12,,True
67 chain,116438.0,137513.0,125455.0,3,2025-10,2025-12,,True
baublebar earrings,116438.0,169547.0,142992.5,2,2025-11,2025-12,,True
"shoe, jewelry & watch accessories",116674.0,116674.0,116674.0,1,2025-12,2025-12,,True
loopdedoo bracelet maker,117379.0,124337.0,120858.0,2,2025-11,2025-12,,True
coach charms for purse,117675.0,117675.0,117675.0,1,2025-12,2025-12,,True
calmi ring magnetic,117675.0,117675.0,117675.0,1,2025-12,2025-12,,True
name necklace gold,118145.0,196435.0,124221.0,4,2025-09,2025-12,,True
emo jewelry,118153.0,199931.0,152161.0,8,2025-05,2025-12,0.7192210695993553,True
stranger things bracelet,118305.0,118305.0,118305.0,1,2025-12,2025-12,,True
permanent jewelry welder,118407.0,193501.0,141350.0,9,2025-04,2025-12,0.96170855502184,True
hug from heaven ring,118656.0,118656.0,118656.0,1,2025-12,2025-12,,True
christmas bracelets bulk,119283.0,144715.0,131999.0,2,2025-11,2025-12,,True
67 necklace,119429.0,156902.0,138165.5,2,2025-11,2025-12,,True
santa earrings,119762.0,119762.0,119762.0,1,2025-12,2025-12,,True
sterling silver earrings for girls,120048.0,170760.0,145404.0,2,2025-11,2025-12,,True
knot bracelets for women,120134.0,120134.0,120134.0,1,2025-12,2025-12,,True
ballerina jewelry box,120469.0,160348.0,140408.5,2,2025-11,2025-12,,True
daughter necklace from mom,120745.0,120745.0,120745.0,1,2025-12,2025-12,,True
nana necklace,120783.0,120783.0,120783.0,1,2025-12,2025-12,,True
brighton jewelry,120871.0,120871.0,120871.0,1,2025-12,2025-12,,True
jewelry for girls 4-6,121158.0,121158.0,121158.0,1,2025-12,2025-12,,True
solid gold earrings,121252.0,188851.0,172538.0,6,2025-07,2025-12,0.9093269758123188,True
mini travel jewelry case,121424.0,125784.0,123604.0,2,2025-11,2025-12,,True
reindeer earrings,122614.0,122614.0,122614.0,1,2025-12,2025-12,,True
jewelry rings,122697.0,185700.0,154882.0,6,2025-07,2025-12,0.798927099070494,True
november birthstone necklace,122757.0,159305.0,141031.0,2,2025-11,2025-12,,True
cat necklace for women,122922.0,122922.0,122922.0,1,2025-12,2025-12,,True
mint and lily bracelets,122978.0,122978.0,122978.0,1,2025-12,2025-12,,True
hug ring for daughter,123170.0,188340.0,141933.0,4,2025-09,2025-12,,True
turquoise bracelet,123282.0,176866.0,136213.0,9,2025-04,2025-12,0.9368736716853175,True
apple watch bracelet band,123432.0,186218.0,165472.0,5,2025-08,2025-12,,True
gold dainty necklace,123497.0,191917.0,145103.0,9,2025-04,2025-12,1.283428261459181,True
snoopy necklace,123684.0,123684.0,123684.0,1,2025-12,2025-12,,True
christmas earrings dangle,123732.0,123732.0,123732.0,1,2025-12,2025-12,,True
gold earrings pack,123864.0,188262.0,141769.0,3,2025-10,2025-12,,True
swift clicks bracelet maker,123920.0,174035.0,148977.5,2,2025-11,2025-12,,True
bag charm chain,124106.0,197924.0,158532.0,8,2025-05,2025-12,0.9685568936280287,True
lego chain reactions,124237.0,178076.0,151156.5,2,2025-11,2025-12,,True
travel jewelry pouch,124342.0,157280.0,140811.0,2,2025-11,2025-12,,True
kendra scott necklace gold,124760.0,143757.0,134258.5,2,2025-11,2025-12,,True
ring canera,124883.0,192025.0,171999.0,8,2025-05,2025-12,0.881930501110155,True
gold pandora bracelet,125186.0,186656.0,155921.0,2,2025-11,2025-12,,True
xmas earrings for women,125694.0,125694.0,125694.0,1,2025-12,2025-12,,True
letter a necklace,125739.0,125739.0,125739.0,1,2025-12,2025-12,,True
sister bracelets for women,125837.0,125837.0,125837.0,1,2025-12,2025-12,,True
billie eilish necklace,126054.0,145887.0,133451.0,3,2025-10,2025-12,,True
womens jewelry box,126248.0,194567.0,160407.5,2,2025-11,2025-12,,True
bracelets silver,126353.0,187392.0,153434.0,6,2025-07,2025-12,1.1553120431155577,True
small gift boxes for jewelry,126618.0,126618.0,126618.0,1,2025-12,2025-12,,True
christmas light earrings,126618.0,126618.0,126618.0,1,2025-12,2025-12,,True
scroll ring,126946.0,183874.0,155410.0,2,2025-11,2025-12,,True
spiderman necklace,127130.0,127130.0,127130.0,1,2025-12,2025-12,,True
wood jewelry box,127179.0,158577.0,142878.0,2,2025-11,2025-12,,True
elden ring sword,127394.0,127394.0,127394.0,1,2025-12,2025-12,,True
jewelry box modern,127427.0,127427.0,127427.0,1,2025-12,2025-12,,True
calmi rings for women,128482.0,193101.0,160791.5,2,2025-11,2025-12,,True
christmas jewelry set,128687.0,128687.0,128687.0,1,2025-12,2025-12,,True
large jewelry organizer,128976.0,189694.0,173967.5,6,2025-07,2025-12,0.8280458162305946,True
girls earrings hypoallergenic,129106.0,162986.0,146046.0,2,2025-11,2025-12,,True
fine jewelry for women,129144.0,129144.0,129144.0,1,2025-12,2025-12,,True
stretch bracelets for women,129227.0,197547.0,150658.0,9,2025-04,2025-12,1.2537889649673732,True
boys chain,130074.0,130074.0,130074.0,1,2025-12,2025-12,,True
leather bracelet,130139.0,185211.0,157275.0,9,2025-04,2025-12,0.9157587015801569,True
men cross necklace,130565.0,130565.0,130565.0,1,2025-12,2025-12,,True
christmas earrings for women dangling,131023.0,131023.0,131023.0,1,2025-12,2025-12,,True
necklace with name,131271.0,131271.0,131271.0,1,2025-12,2025-12,,True
pandora jewelry,131612.0,131612.0,131612.0,1,2025-12,2025-12,,True
frog earrings,131663.0,170222.0,150942.5,2,2025-11,2025-12,,True
necklace magnetic clasp,131769.0,180408.0,168517.0,5,2025-08,2025-12,,True
teen girl jewelry,131819.0,193973.0,162896.0,2,2025-11,2025-12,,True
grandson bracelet from grandma,131925.0,180007.0,155966.0,2,2025-11,2025-12,,True
mistletoe belly button ring,131925.0,151149.0,141537.0,2,2025-11,2025-12,,True
perfect jewelry box,133230.0,133230.0,133230.0,1,2025-12,2025-12,,True
earrings for women silver,133348.0,196069.0,165075.0,9,2025-04,2025-12,1.2391555437092927,True
girls jewelry making kit,133444.0,133444.0,133444.0,1,2025-12,2025-12,,True
paper clip necklace,133672.0,168879.0,159232.0,4,2025-09,2025-12,,True
wrestling ring for action figures,134088.0,178934.0,156511.0,2,2025-11,2025-12,,True
to my man bracelet,134273.0,134273.0,134273.0,1,2025-12,2025-12,,True
nye earrings,134372.0,134372.0,134372.0,1,2025-12,2025-12,,True
gingerbread earrings for women,134420.0,134420.0,134420.0,1,2025-12,2025-12,,True
christmas clip on earrings,134580.0,183312.0,158946.0,2,2025-11,2025-12,,True
14k gold chain for men,135370.0,197419.0,172996.0,8,2025-05,2025-12,1.207843164202078,True
womens bracelet,135431.0,135431.0,135431.0,1,2025-12,2025-12,,True
strong magnetic screw ring,135431.0,135431.0,135431.0,1,2025-12,2025-12,,True
womens necklaces gold,135761.0,184447.0,160104.0,2,2025-11,2025-12,,True
happy yappy slap bracelet,135844.0,161779.0,148811.5,2,2025-11,2025-12,,True
december birthstone,136455.0,136455.0,136455.0,1,2025-12,2025-12,,True
earring jewelry box,136509.0,160424.0,148466.5,2,2025-11,2025-12,,True
white jewelry box,136728.0,160253.0,148490.5,2,2025-11,2025-12,,True
chunky hoop earrings,137283.0,174845.0,142283.5,6,2025-07,2025-12,1.0604773609878841,True
santa earrings for women,137300.0,137300.0,137300.0,1,2025-12,2025-12,,True
silver huggie hoop earrings,137513.0,195111.0,163456.0,5,2025-08,2025-12,,True
jewelry cleaner machine,137519.0,189106.0,163312.5,2,2025-11,2025-12,,True
gold name necklace,137570.0,173955.0,155762.5,2,2025-11,2025-12,,True
girls clip on earrings,138242.0,191917.0,165079.5,2,2025-11,2025-12,,True
earring holder for girls,138574.0,173339.0,155956.5,2,2025-11,2025-12,,True
christmas bracelet making kit,138735.0,157428.0,148081.5,2,2025-11,2025-12,,True
red bow earrings for women,138799.0,138799.0,138799.0,1,2025-12,2025-12,,True
jewelry travel pouch,138868.0,195726.0,167297.0,2,2025-11,2025-12,,True
magnetic jewelry clasps,139243.0,179816.0,143555.0,5,2025-08,2025-12,,True
cookie rings,139532.0,193293.0,178267.0,4,2025-09,2025-12,,True
dachshund ring holder,139756.0,184231.0,161993.5,2,2025-11,2025-12,,True
coach necklace,140078.0,140078.0,140078.0,1,2025-12,2025-12,,True
pandora promise ring,140138.0,140138.0,140138.0,1,2025-12,2025-12,,True
christmas napkin rings set of 12,140345.0,140345.0,140345.0,1,2025-12,2025-12,,True
42 pairs gold hoop earrings set for women,140519.0,163583.0,152051.0,2,2025-11,2025-12,,True
girl jewelry box,140847.0,182805.0,161826.0,2,2025-11,2025-12,,True
mens gold cross necklace,140959.0,140959.0,140959.0,1,2025-12,2025-12,,True
earring box gift,141241.0,141241.0,141241.0,1,2025-12,2025-12,,True
