term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category
fourth of july deals,134.0,1838.0,516.0,3,2025-05,2025-07,,False
graduation decorations 2025 deals,141.0,33548.0,1711.0,5,2025-04,2025-08,,False
graduation decorations 2025,154.0,65504.0,3250.0,8,2025-01,2025-08,4.531552162849873,False
mothers day card,156.0,187751.0,49128.0,5,2025-02,2025-06,,False
spring dresses for women 2025,156.0,137435.0,5576.0,8,2025-01,2025-08,103.19791666666667,False
4th of july outfits for women,159.0,103357.0,6373.0,5,2025-03,2025-07,,False
kindle paperwhite 2024,169.0,195249.0,6646.0,6,2025-01,2025-06,186.1741935483871,False
valentines candy,186.0,178460.0,26616.5,4,2025-01,2025-12,,False
easter egg fillers,195.0,88974.0,6573.5,4,2025-01,2025-04,,False
2025 wall calendar,201.0,158129.0,69110.0,9,2025-01,2025-09,35.26744186046512,False
outdoor faux plants,204.0,199531.0,5770.0,7,2025-03,2025-09,178.22433035714286,False
easter,210.0,159129.0,13952.0,6,2025-01,2025-12,29.052645433008685,False
tinnitus treatment,212.0,13911.0,2868.0,4,2025-01,2025-12,,False
nad supplement 1000mg pure organic,217.0,5280.0,580.0,5,2025-01,2025-05,,False
the passion of the christ,219.0,138795.0,4551.0,7,2025-01,2025-07,4.8896124031007755,False
ultra hydrating serum,225.0,56344.0,3322.0,5,2025-03,2025-07,,False
easter decorations,226.0,63461.0,988.0,5,2025-01,2025-12,,False
back to school supplies,236.0,174448.0,33527.5,8,2025-01,2025-09,0.006821627084386054,False
fathers day card,242.0,114689.0,28203.5,4,2025-04,2025-07,,False
super bowl,260.0,158099.0,52454.0,3,2025-01,2025-03,,False
fathers day gifts for husband,273.0,69286.0,1742.0,3,2025-04,2025-06,,False
h2 molecular hydrogen,282.0,52538.0,3610.0,3,2025-05,2025-12,,False
tanning pool,284.0,178171.0,4261.0,9,2025-01,2025-09,0.7544539116963594,False
hop,287.0,122633.0,46616.0,6,2025-01,2025-06,1.6075963528556245,False
methylene blue for humans,296.0,118900.0,11499.0,9,2025-01,2025-09,0.1682921974522293,False
maxi dresses for seniors,300.0,3681.0,460.0,3,2025-05,2025-07,,False
mothers day,320.0,177535.0,65216.0,5,2025-02,2025-06,,False
blue methylene pharmaceutical grade,326.0,153454.0,784.0,4,2025-02,2025-07,,False
spring break essentials,357.0,75426.0,4712.0,4,2025-02,2025-05,,False
eyebright eye drops,365.0,139403.0,69711.0,5,2025-03,2025-11,,False
st patricks day decorations,368.0,98962.0,3536.5,4,2025-01,2025-12,,False
women shorts for seniors,374.0,182777.0,16049.0,5,2025-05,2025-09,,False
new years eve outfits women,383.0,195477.0,59028.5,4,2025-01,2025-12,,False
keto acv gummies,395.0,179678.0,62878.0,9,2025-01,2025-09,357.29175475687106,False
mens valentines day gifts,398.0,29419.0,3626.0,3,2025-01,2025-12,,False
4th of july decorations,414.0,113821.0,16701.0,7,2025-01,2025-07,0.045115739782185596,False
spring dresses for women,422.0,104689.0,18365.0,7,2025-01,2025-12,41.628412969283275,False
holland nicole kidman,453.0,164717.0,4389.0,4,2025-03,2025-06,,False
face lifting tape,454.0,172324.0,73263.0,9,2025-01,2025-09,0.04300035926299762,False
desk calendar 2025,462.0,195747.0,21030.0,7,2025-01,2025-07,31.582278481012658,False
valentines,497.0,20460.0,670.0,3,2025-01,2025-12,,False
instant lift patch for legs,505.0,61928.0,15729.0,4,2025-06,2025-09,,False
4th of july shirts women,511.0,105655.0,12191.0,5,2025-03,2025-07,,False
rompers for mom,523.0,10089.0,646.0,3,2025-06,2025-08,,False
galentines day decorations,525.0,16167.0,707.0,3,2025-01,2025-12,,False
boxbollen,537.0,157055.0,96086.0,7,2025-01,2025-12,0.0696771642070645,False
st patricks day accessories,539.0,40583.0,3108.0,3,2025-01,2025-03,,False
fathers day,569.0,101998.0,5346.0,3,2025-04,2025-06,,False
after shave oil women,574.0,190107.0,8081.0,9,2025-01,2025-09,0.1954477050413845,False
nerve renew for neuropathy,574.0,153348.0,59995.5,8,2025-01,2025-08,0.3369779096028769,False
bestselling bikini,579.0,18051.0,4664.0,7,2025-01,2025-07,15.233542319749215,False
facial wrinkle patches,583.0,156578.0,1812.5,8,2025-01,2025-08,1.4009508716323296,False
prefilled easter eggs,588.0,154856.0,10109.5,4,2025-01,2025-04,,False
den of thieves 2: pantera,592.0,136161.0,36917.5,8,2025-01,2025-08,177.92747559274756,False
the accountant 2 movie 2025,604.0,173620.0,68766.0,5,2025-05,2025-09,,False
bakuchiol retinol serum,611.0,35549.0,12717.0,7,2025-01,2025-07,0.08981087543865098,False
valentines cards for kids classroom,640.0,1901.0,1270.5,2,2025-01,2025-02,,False
father's day gifts,653.0,84163.0,4285.0,3,2025-04,2025-06,,False
varicose veins treatment,670.0,39009.0,19839.5,2,2025-04,2025-05,,False
capris for seniors,675.0,12793.0,6734.0,2,2025-05,2025-06,,False
wall calendar 2025,677.0,194393.0,21026.0,8,2025-01,2025-08,36.85037037037037,False
valentines day decor,682.0,16856.0,8125.0,3,2025-01,2025-12,,False
turbotax 2024 deluxe,712.0,2503.0,1005.5,4,2025-01,2025-04,,False
1cc syringe with needle,721.0,161087.0,5034.5,6,2025-04,2025-09,3.1433235390140384,False
a quite place,733.0,2108.0,1420.5,2,2025-01,2025-02,,False
spring tops deals,740.0,121773.0,4744.0,3,2025-03,2025-06,,False
valentines day gifts for kids classroom,742.0,5256.0,2999.0,2,2025-01,2025-02,,False
mothers day gifts for wife,750.0,5316.0,3033.0,2,2025-04,2025-05,,False
easter basket stuffers for teens,766.0,37694.0,4356.0,3,2025-02,2025-04,,False
a charlie brown christmas,781.0,195581.0,33949.0,4,2025-01,2025-12,,False
garden hose 75ft,833.0,66359.0,8998.0,4,2025-04,2025-07,,False
graduation cards,844.0,72487.0,15665.0,6,2025-03,2025-08,5.799045138888889,False
iron drops for women,872.0,872.0,872.0,1,2025-01,2025-01,,False
plastic easter eggs,882.0,168993.0,21194.5,4,2025-01,2025-04,,False
fourth of july decorations,924.0,161440.0,12011.0,5,2025-03,2025-07,,False
salmon dna ampoule,933.0,69615.0,64254.0,3,2025-06,2025-12,,False
keto acv gummies advanced weight loss,938.0,181408.0,1753.5,4,2025-01,2025-04,,False
bitter apple spray for dogs to stop chewing,951.0,43517.0,2945.0,7,2025-01,2025-07,5.60589651022864,False
nurse appreciation gifts,956.0,35970.0,18463.0,2,2025-04,2025-05,,False
easter dress,976.0,157490.0,15604.0,4,2025-01,2025-04,,False
summer sets women 2 piece outfits,986.0,161268.0,18617.0,5,2025-05,2025-09,,False
mother's day gifts,1003.0,133282.0,36248.0,4,2025-02,2025-05,,False
laptops on sale clearance 2024,1004.0,122150.0,21813.0,4,2025-01,2025-04,,False
slip and slide,1008.0,196622.0,9584.0,9,2025-01,2025-09,0.11054209919261822,False
easter baskets,1010.0,99210.0,8618.5,4,2025-01,2025-04,,False
a real pain,1031.0,149497.0,23893.5,8,2025-01,2025-08,48.66990740740741,False
prom dresses 2025,1039.0,98132.0,16392.0,9,2025-01,2025-09,35.425918762088976,False
ramadan decorations,1062.0,119936.0,11059.0,5,2025-01,2025-12,,False
valentines day candy,1070.0,176520.0,57016.0,4,2025-01,2025-12,,False
lunar remastered collection,1084.0,169767.0,24227.0,8,2025-01,2025-11,9.565686215779069,False
rakhi for brother,1122.0,99601.0,1998.0,3,2025-06,2025-08,,False
thunderbolt,1146.0,124417.0,21051.0,5,2025-05,2025-09,,False
easter tablecloth,1180.0,86604.0,13332.5,4,2025-01,2025-04,,False
gene hackman,1195.0,175704.0,94771.0,7,2025-01,2025-07,29.680152394775035,False
valentine candy,1212.0,166193.0,3257.0,3,2025-01,2025-12,,False
spring dresses,1215.0,149135.0,7897.0,7,2025-01,2025-07,7.172090667342029,False
tiffany & co.,1223.0,179321.0,21384.5,4,2025-01,2025-07,,False
hat with fans solar power,1226.0,97024.0,15197.5,6,2025-04,2025-09,6.043002345582487,False
soothing pain relief massage gel,1278.0,6905.0,3786.5,6,2025-04,2025-09,0.2447112635791881,False
easter eggs filled,1312.0,30747.0,4401.0,3,2025-02,2025-04,,False
fourth of july outfit women,1316.0,115707.0,17541.5,4,2025-04,2025-07,,False
nyla perfume arabiyat prestige,1327.0,60279.0,6678.0,5,2025-04,2025-08,,False
val kilmer,1359.0,141921.0,51395.0,3,2025-04,2025-06,,False
self-adhesive false eyelashes,1362.0,42340.0,25694.0,3,2025-01,2025-04,,False
ear tinnitus relief,1373.0,157785.0,8805.0,5,2025-05,2025-12,,False
teacher appreciation gifts in bulk,1400.0,172422.0,119281.0,9,2025-01,2025-12,2.3050066508508977,False
kids valentines day gifts for school,1401.0,4076.0,2738.5,2,2025-01,2025-02,,False
carroten tanning gel,1426.0,41016.0,4166.5,8,2025-01,2025-08,1.831618130063499,False
cat constipation relief,1446.0,165730.0,10310.5,6,2025-01,2025-12,25.137310073157007,False
superbowl party decorations 2025,1457.0,4246.0,2851.5,2,2025-01,2025-02,,False
african attire for women,1492.0,177822.0,83910.0,7,2025-01,2025-07,5.446897428908876,False
linen clothes,1502.0,31070.0,3320.0,4,2025-05,2025-08,,False
rose viboators toys,1507.0,2770.0,2138.5,2,2025-01,2025-02,,False
mothers day gift,1516.0,128569.0,56700.5,4,2025-03,2025-06,,False
4th of july shirts for men,1525.0,38113.0,10341.0,3,2025-05,2025-07,,False
heart sweater for women,1548.0,84426.0,1980.0,3,2025-01,2025-12,,False
100 days of school,1587.0,9478.0,5532.5,2,2025-01,2025-02,,False
the calendar killer,1624.0,196024.0,25237.0,7,2025-01,2025-07,25.383148936170212,False
lightweight tops & blouses,1629.0,157620.0,8861.0,3,2025-04,2025-06,,False
original sin jake tapper,1641.0,147379.0,46359.5,4,2025-04,2025-07,,False
back to school decorations,1642.0,134928.0,28763.0,5,2025-05,2025-09,,False
mothers day gifts for grandma,1659.0,9669.0,5664.0,2,2025-04,2025-05,,False
dragonfly clip bug repellent,1705.0,185637.0,13554.5,6,2025-04,2025-09,0.3316141074761764,False
nurses week gifts,1706.0,31536.0,14204.0,5,2025-04,2025-08,,False
collagen peptides powder for women,1711.0,28453.0,27951.0,3,2025-01,2025-03,,False
juneteenth shirts women,1717.0,110238.0,12317.0,3,2025-04,2025-06,,False
faucet covers for winter,1730.0,55962.0,19359.0,5,2025-01,2025-12,,False
national lampoon's christmas vacation,1736.0,109005.0,34286.0,5,2025-01,2025-12,,False
cinco de mayo decorations,1741.0,91702.0,20039.5,4,2025-02,2025-05,,False
2025 graduation decorations,1747.0,167317.0,19152.0,8,2025-01,2025-08,1.7905688073394495,False
inflatable water slide,1752.0,169329.0,8849.0,9,2025-01,2025-09,0.33411532287936785,False
the grinch who stole christmas moviesa,1753.0,162927.0,40898.0,4,2025-01,2025-04,,False
valentines day,1758.0,13948.0,1995.0,3,2025-01,2025-12,,False
ginseng essence anti wrinkle essence,1761.0,64862.0,48581.0,3,2025-06,2025-08,,False
stanley 40 oz tumbler with handle,1764.0,83528.0,46080.5,8,2025-01,2025-08,16.874874539979928,False
100 days of school shirt,1767.0,149649.0,2465.0,3,2025-01,2025-12,,False
splash pad,1794.0,144860.0,10105.0,9,2025-01,2025-09,0.34910104529616726,False
the french connection,1806.0,144007.0,82475.0,7,2025-01,2025-07,20.049854321786984,False
books best sellers new releases 2024,1807.0,190417.0,3478.5,6,2025-01,2025-06,7.241730279898219,False
captain america: brave new world,1808.0,95737.0,20090.0,5,2025-04,2025-08,,False
easter decor,1811.0,76140.0,3964.0,5,2025-01,2025-12,,False
boho summer dresses 2025,1834.0,72766.0,14515.5,4,2025-06,2025-09,,False
galentines gifts,1845.0,3221.0,2533.0,2,2025-01,2025-02,,False
summer tops for seniors,1864.0,1864.0,1864.0,1,2025-05,2025-05,,False
american flag overalls men,1879.0,182394.0,30491.0,7,2025-02,2025-09,0.3235301809812742,False
dorm essentials for guys,1890.0,32254.0,6379.0,4,2025-05,2025-08,,False
hanukkah candles,1901.0,151860.0,39050.0,4,2025-01,2025-12,,False
colored pencils 12 count,1922.0,167413.0,25698.5,4,2025-06,2025-09,,False
leprechaun trap,1944.0,11684.0,6814.0,2,2025-02,2025-03,,False
derby hats for women 2025,1947.0,160310.0,70306.5,8,2025-02,2025-09,1.7860975140542505,False
val,1984.0,165829.0,95241.0,7,2025-01,2025-07,0.5405881689505442,False
nad nicotinamide riboside resveratrol 900mg,1993.0,137677.0,10248.0,9,2025-01,2025-09,14.48488160291439,False
the couple nextdoor,1994.0,7308.0,4651.0,2,2025-01,2025-02,,False
temptation island,1995.0,168228.0,29284.0,9,2025-01,2025-09,16.158902130733118,False
valentines sweater women,1996.0,103732.0,2670.0,3,2025-01,2025-12,,False
morning sickness relief for pregnant women,2004.0,100976.0,51897.5,6,2025-01,2025-11,1.3188478931739223,False
spring wreaths for front door,2026.0,148889.0,12953.5,6,2025-01,2025-12,4.378254462092681,False
the perfect divorce jeneva rose,2026.0,180018.0,20841.0,9,2025-01,2025-09,2.021170175642666,False
valentines day cards,2028.0,80026.0,4301.0,3,2025-01,2025-12,,False
oscillococcinum flu medicine,2037.0,26181.0,6063.0,3,2025-01,2025-03,,False
mothers day gifts for daughter,2042.0,9300.0,5671.0,2,2025-04,2025-05,,False
anti alcohol craving supplement,2054.0,47726.0,6357.0,6,2025-01,2025-06,2.027625749283294,False
metatarsal foot pads for women,2058.0,150740.0,129143.5,8,2025-01,2025-08,0.03924613485035565,False
easter baskets for kids,2058.0,29957.0,8267.0,3,2025-02,2025-04,,False
star wars movies in order,2076.0,75011.0,9575.5,8,2025-01,2025-08,1.117121095043603,False
grad cap headband,2077.0,177142.0,20799.0,6,2025-02,2025-12,0.5985704403965875,False
easter gifts for kids,2080.0,174489.0,16648.5,4,2025-01,2025-04,,False
the conclave,2090.0,39665.0,8314.5,6,2025-01,2025-06,0.2610025117396527,False
happy face killer,2096.0,177122.0,40370.0,6,2025-02,2025-07,24.15862986365148,False
shield of sparrows by devney perry,2113.0,187733.0,32685.0,6,2025-04,2025-09,10.850630556129833,False
pop culture jepordy,2154.0,187936.0,2663.0,3,2025-01,2025-03,,False
prefilled easter eggs with toys,2154.0,33797.0,4600.0,3,2025-02,2025-04,,False
valentines day gifts for women,2173.0,2742.0,2457.5,2,2025-01,2025-02,,False
chespirito: not really on purpose,2177.0,160127.0,14010.0,4,2025-06,2025-09,,False
4th of july accessories,2199.0,191091.0,44285.0,5,2025-04,2025-09,,False
gardening supplies,2207.0,177358.0,34985.0,9,2025-01,2025-12,26.771399017326093,False
outdoor plastic straw rug,2213.0,172689.0,3332.0,7,2025-01,2025-07,2.322462440454379,False
christmas card,2235.0,95460.0,54690.5,4,2025-01,2025-12,,False
easter bunny costume adult,2236.0,76277.0,15518.0,4,2025-01,2025-04,,False
1923 nun movie,2237.0,117622.0,22524.0,7,2025-01,2025-07,11.209468664850137,False
die hard (4k uhd),2257.0,90637.0,81848.0,3,2025-01,2025-12,,False
sleds for snow,2259.0,195394.0,53555.0,4,2025-01,2025-12,,False
valentines cards,2264.0,5376.0,3820.0,2,2025-01,2025-02,,False
turbotax 2024 premier,2271.0,17076.0,5136.0,4,2025-01,2025-04,,False
st patricks day shirt,2271.0,141043.0,13302.0,3,2025-01,2025-03,,False
both eyes open,2277.0,118139.0,30379.5,4,2025-04,2025-07,,False
reacher trailer,2280.0,172256.0,15009.0,5,2025-01,2025-05,,False
fathers day gift,2292.0,14594.0,8443.0,2,2025-05,2025-06,,False
above ground pool accessories,2298.0,118385.0,14932.0,7,2025-02,2025-08,0.16936296462158532,False
mardi gras shirts for women,2328.0,118656.0,21182.0,4,2025-01,2025-12,,False
valentines decor,2332.0,17572.0,7164.0,3,2025-01,2025-12,,False
back to school,2333.0,86336.0,44477.0,9,2025-01,2025-09,0.03207008855274137,False
nessie ladle,2336.0,185114.0,124106.0,5,2025-01,2025-12,,False
grandma mothers day gift,2342.0,21360.0,11851.0,2,2025-04,2025-05,,False
womens swimsuits plus size,2350.0,188336.0,96498.0,7,2025-02,2025-08,0.03421342439638339,False
macerator pump,2357.0,8434.0,5958.0,3,2025-01,2025-03,,False
the minecraft movie,2363.0,160201.0,70462.0,7,2025-02,2025-08,0.83560035576638,False
easter egg stuffers,2376.0,47556.0,6870.0,3,2025-02,2025-04,,False
easter outfit women,2379.0,87063.0,12868.0,3,2025-02,2025-04,,False
easter dresses for women 2025,2396.0,124735.0,14871.0,3,2025-02,2025-04,,False
bucket swing,2401.0,188205.0,11894.5,6,2025-03,2025-09,0.021817905242055968,False
daily planner 2025,2403.0,167842.0,13668.5,6,2025-01,2025-06,15.158568614576494,False
love island usa,2409.0,184186.0,145066.0,9,2025-01,2025-09,0.5022901773894626,False
fans for line dancing,2411.0,120516.0,16396.0,8,2025-02,2025-09,26.694027655192702,False
soothing cooling gel,2412.0,110093.0,5185.0,5,2025-05,2025-09,,False
ultrawf water filter replacement,2417.0,188131.0,158514.0,9,2025-01,2025-09,2.121992967094385,False
akkermansia+probiotic,2431.0,2431.0,2431.0,1,2025-01,2025-01,,False
ramadan decorations for home,2436.0,138242.0,25708.0,4,2025-01,2025-12,,False
4th of july,2442.0,178926.0,24607.0,5,2025-03,2025-07,,False
autism awareness shirt,2443.0,180978.0,57781.0,6,2025-02,2025-09,44.13924777490669,False
thank my driver,2461.0,149634.0,76047.5,2,2025-01,2025-12,,False
lisa frank glitter and greed,2462.0,162123.0,115741.0,8,2025-01,2025-08,7.87565896188159,False
the santa clause,2476.0,141101.0,56222.0,4,2025-01,2025-12,,False
st patricks day shirt men,2489.0,182459.0,17398.0,3,2025-01,2025-03,,False
st patricks day,2493.0,55846.0,5770.0,3,2025-01,2025-03,,False
hayward pool filter,2498.0,129972.0,13965.0,6,2025-03,2025-08,0.3089937666963491,False
hawaiian tropic tanning oil,2505.0,158642.0,11467.0,8,2025-01,2025-08,0.14071760960078375,False
boxbollen game,2510.0,90378.0,17426.0,4,2025-01,2025-12,,False
epson c9345 maintenance box,2515.0,23608.0,13061.5,2,2025-05,2025-06,,False
c9345,2544.0,23210.0,12877.0,2,2025-05,2025-06,,False
100 days of school costume,2552.0,5140.0,3846.0,2,2025-01,2025-02,,False
jeopardy pop culture,2560.0,178703.0,48628.0,7,2025-01,2025-09,32.08897338403042,False
bridget jones diary,2560.0,115700.0,14504.0,3,2025-01,2025-03,,False
lipozem,2573.0,181141.0,25419.0,8,2025-01,2025-09,28.9658215661104,False
valentines day card,2577.0,21663.0,13168.0,3,2025-01,2025-12,,False
epson maintenance box c9345,2587.0,23547.0,13067.0,2,2025-05,2025-06,,False
carpenter bee traps for outside,2592.0,131254.0,14029.0,6,2025-03,2025-08,17.284752155172413,False
toddler treadmill,2593.0,164259.0,122870.0,7,2025-02,2025-12,3.822739981360671,False
girls easter dress,2594.0,168199.0,19170.5,4,2025-01,2025-04,,False
spring outfits for women 2025,2614.0,112233.0,8999.0,5,2025-01,2025-05,,False
how to loose a guy in 10 days,2620.0,2833.0,2726.5,2,2025-01,2025-02,,False
2025 planner weekly and monthly,2638.0,145678.0,52021.0,6,2025-01,2025-06,6.791154228095638,False
teen easter basket stuffers,2646.0,121086.0,12032.0,3,2025-02,2025-04,,False
amazon gift card christmas,2653.0,128238.0,40235.5,4,2025-01,2025-12,,False
the program james fox,2657.0,195217.0,100758.5,8,2025-01,2025-08,11.449351106935229,False
halara shorts,2659.0,137980.0,7907.5,8,2025-02,2025-09,5.787174348697395,False
age of disclosure,2661.0,199402.0,60588.5,4,2025-03,2025-12,,False
post malone oreo cookies,2664.0,192011.0,53745.0,6,2025-01,2025-06,3.856009543692216,False
dale earnhardt movie,2664.0,137435.0,60784.0,7,2025-02,2025-08,0.6235789949618912,False
easter basket stuffers for toddler,2669.0,14002.0,3457.0,3,2025-02,2025-04,,False
sweat absorbing lotion,2671.0,12826.0,7748.5,2,2025-06,2025-10,,False
gonggi korean game,2672.0,182245.0,28160.0,5,2025-01,2025-07,,False
easter eggs empty,2678.0,60540.0,10002.0,3,2025-02,2025-04,,False
womens easter dress 2025,2682.0,43078.0,6875.0,3,2025-02,2025-04,,False
altitude sickness prevention patches,2687.0,79428.0,27296.5,4,2025-02,2025-11,,False
sustain me book barbara o'neill 2024,2689.0,21342.0,6464.0,4,2025-01,2025-04,,False
invisible eyelid tape for hooded eyes,2698.0,173387.0,32746.0,6,2025-01,2025-06,1.3679897839736086,False
garden statue deals,2706.0,18993.0,5672.0,5,2025-03,2025-07,,False
toddler easter basket stuffers,2713.0,23194.0,5128.0,3,2025-02,2025-04,,False
easter gifts,2714.0,194068.0,21285.0,4,2025-01,2025-04,,False
hello kitty valentines,2718.0,6107.0,4412.5,2,2025-01,2025-02,,False
muddy mats for dogs large,2734.0,65341.0,5462.0,7,2025-01,2025-07,8.215559157212319,False
budget planner 2025,2735.0,188398.0,12827.0,7,2025-01,2025-07,3.7245460659045055,False
college dorm essentials for girls,2738.0,56018.0,16969.0,8,2025-01,2025-08,0.1169311475409836,False
usb3.0 hub,2756.0,30981.0,16868.5,2,2025-02,2025-03,,False
kindergarten graduation cap and gown,2761.0,93480.0,16708.0,4,2025-03,2025-06,,False
the l,2761.0,136778.0,24062.0,7,2025-01,2025-07,0.3518576118887161,False
pens for school,2777.0,110411.0,26668.0,4,2025-06,2025-09,,False
pool lights for above ground pools,2780.0,68954.0,18070.5,6,2025-03,2025-08,0.18865377599416272,False
black history shirts for women,2781.0,25526.0,14153.5,2,2025-01,2025-02,,False
henry danger the movie,2787.0,26908.0,14847.5,2,2025-01,2025-02,,False
chocolate bunny,2790.0,129150.0,18531.0,3,2025-02,2025-04,,False
spring dress,2800.0,196583.0,36026.0,8,2025-01,2025-09,12.363555494731079,False
kindergarten graduation gifts,2800.0,31080.0,12635.0,3,2025-04,2025-06,,False
the equalizer 3 - bonus x-ray edition,2806.0,18806.0,13906.0,5,2025-01,2025-05,,False
easter dresses for girls,2810.0,68842.0,9433.0,4,2025-01,2025-04,,False
the mortician,2812.0,149569.0,55867.0,4,2025-06,2025-09,,False
nipple covers men,2815.0,166034.0,71679.5,6,2025-04,2025-09,42.58571428571429,False
visa gift card ?,2816.0,3819.0,3442.5,4,2025-01,2025-07,,False
tom green,2817.0,122003.0,33131.0,6,2025-01,2025-06,13.961838498840397,False
valentines pajamas for women,2818.0,131663.0,2881.0,3,2025-01,2025-12,,False
stagecoach,2832.0,192079.0,128947.5,6,2025-02,2025-07,1.3116120647156366,False
kentucky derby outfits for women,2852.0,163353.0,63671.0,9,2025-01,2025-09,4.245254585096832,False
toddler swing outdoor,2854.0,155445.0,42069.0,8,2025-02,2025-09,0.29598601735776275,False
tinnitus patch,2855.0,25273.0,6048.0,9,2025-01,2025-12,4.016865079365079,False
valentine cards for kids classroom,2863.0,10247.0,6555.0,2,2025-01,2025-02,,False
cadbury creme eggs,2868.0,164799.0,36251.0,6,2025-01,2025-06,0.98255400601586,False
patal lok,2869.0,174568.0,104191.5,8,2025-01,2025-12,23.715210821700964,False
scrooged,2873.0,116856.0,20438.0,3,2025-01,2025-12,,False
potassium drops,2873.0,59959.0,10693.0,3,2025-01,2025-04,,False
stand up comedy new,2876.0,147372.0,3884.0,7,2025-01,2025-07,1.5279595478881618,False
"onyx storm deluxe limited edition the empyrean, 3",2896.0,37517.0,20206.5,2,2025-01,2025-02,,False
toddler valentines day gifts,2902.0,11845.0,7373.5,2,2025-01,2025-02,,False
mufasa,2908.0,160612.0,29464.0,9,2025-01,2025-09,26.51298847978315,False
valentine,2910.0,199931.0,60811.0,5,2025-01,2025-12,,False
arthur christmas,2919.0,101689.0,10132.0,3,2025-01,2025-12,,False
valentines gifts for him,2928.0,24327.0,3419.0,3,2025-01,2025-12,,False
pain relieving gel,2928.0,2928.0,2928.0,1,2025-05,2025-05,,False
white elephant gift ideas,2933.0,190313.0,10253.0,3,2025-01,2025-12,,False
dungeons and dragons movie,2936.0,158850.0,24848.0,8,2025-01,2025-08,10.74340467894475,False
kraven the hunter,2938.0,166053.0,33573.0,5,2025-01,2025-05,,False
chiefsaholic: a wolf in chiefs clothing,2940.0,190172.0,69929.5,6,2025-01,2025-06,12.783221974758723,False
chocolate easter bunny,2941.0,31397.0,17169.0,2,2025-03,2025-04,,False
despicable me 4 (includes 2 mini-movies),2946.0,122419.0,56198.0,7,2025-01,2025-07,12.879107981220658,False
an,2953.0,159975.0,115532.0,5,2025-01,2025-06,,False
water slides for kids backyard,2954.0,124681.0,20218.0,9,2025-01,2025-09,0.809624761500954,False
i'm still here,2957.0,161039.0,17553.0,7,2025-01,2025-07,32.82508630609897,False
amazon gift card - e-mail,2960.0,100055.0,35160.0,6,2025-01,2025-08,0.2913005455378337,False
tankini deals for retired women,2966.0,22323.0,10422.0,4,2025-05,2025-08,,False
advent candles,2969.0,155738.0,36855.5,4,2025-01,2025-12,,False
press on nails for women,2989.0,175855.0,16103.0,3,2025-01,2025-03,,False
notes on being a man,3001.0,71213.0,15615.0,3,2025-04,2025-12,,False
balloonerism,3001.0,80779.0,17318.0,3,2025-01,2025-03,,False
duplicity tyler perry,3035.0,102744.0,24976.0,5,2025-02,2025-06,,False
gloves for women cold weather,3051.0,95955.0,16574.0,6,2025-01,2025-12,1.522870842529873,False
swim suits for women 2024,3053.0,185076.0,94064.5,2,2025-01,2025-02,,False
japanese beetle traps,3060.0,110223.0,43456.5,6,2025-03,2025-08,0.1407122175457449,False
scissors for school,3064.0,90201.0,34856.0,4,2025-06,2025-09,,False
common ground,3066.0,123692.0,63588.0,6,2025-04,2025-09,11.949702541914549,False
conclave movie 2024,3068.0,126353.0,23749.0,8,2025-01,2025-08,6.220652856246077,False
molly mae,3077.0,122227.0,54054.0,5,2025-01,2025-10,,False
