term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,months_on_list
hemios hematite bracelet men,32702.0,77934.0,44038.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
3 ring pencil pouch,32902.0,42925.0,37913.5,2,2025-07,2025-08,,True,2025-07;2025-08
christmas light up necklace,32961.0,72542.0,52751.5,2,2025-11,2025-12,,True,2025-11;2025-12
spider earrings,32993.0,113956.0,73474.5,2,2025-09,2025-10,,True,2025-09;2025-10
ghost earrings,33031.0,195680.0,77122.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
ring master costume female,33467.0,115801.0,74634.0,2,2025-09,2025-10,,True,2025-09;2025-10
halloween light up necklace,33746.0,135386.0,84566.0,2,2025-09,2025-10,,True,2025-09;2025-10
pirate necklace,33861.0,99364.0,66612.5,2,2025-09,2025-10,,True,2025-09;2025-10
vampire jewelry,34026.0,157613.0,95819.5,2,2025-09,2025-10,,True,2025-09;2025-10
halloween slap bracelets,34140.0,111711.0,72925.5,2,2025-09,2025-10,,True,2025-09;2025-10
pride earrings,34243.0,99003.0,66623.0,2,2025-05,2025-06,,True,2025-05;2025-06
gold prom jewelry,35186.0,199995.0,108480.5,4,2025-02,2025-05,,True,2025-02;2025-03;2025-04;2025-05
silver prom jewelry,35681.0,155988.0,96230.0,3,2025-03,2025-05,,True,2025-03;2025-04;2025-05
grinch earrings for women,35934.0,66772.0,51353.0,2,2025-11,2025-12,,True,2025-11;2025-12
queen of the ring,36036.0,173583.0,96427.5,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
candy cane earrings,36668.0,83649.0,60158.5,2,2025-11,2025-12,,True,2025-11;2025-12
halloween necklace,36743.0,79949.0,58346.0,2,2025-09,2025-10,,True,2025-09;2025-10
gold starfish earrings,37082.0,147052.0,92067.0,2,2025-06,2025-07,,True,2025-06;2025-07
bat earrings,37952.0,163301.0,89079.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
valentines earrings for women,38055.0,59669.0,48862.0,2,2025-01,2025-02,,True,2025-01;2025-02
invisawear necklace,38605.0,189505.0,106845.5,4,2025-02,2025-08,,True,2025-02;2025-06;2025-07;2025-08
led halloween rings,38634.0,76879.0,57756.5,2,2025-09,2025-10,,True,2025-09;2025-10
turkey earrings,38735.0,181107.0,109921.0,2,2025-10,2025-11,,True,2025-10;2025-11
essence nose ring,38821.0,38821.0,38821.0,1,2025-04,2025-04,,True,2025-04
cook rings for men erection sex,38846.0,179287.0,46647.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
tanjiro earrings,38962.0,121504.0,54333.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
the christmas ring karen kingsbury,39070.0,93249.0,43164.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
forever bracelets for couples,39163.0,80960.0,60061.5,2,2025-01,2025-02,,True,2025-01;2025-02
halloween light up rings,39666.0,82676.0,61171.0,2,2025-09,2025-10,,True,2025-09;2025-10
fourth of july earrings,39754.0,168292.0,104023.0,2,2025-06,2025-07,,True,2025-06;2025-07
travel jewelry cases for women,40563.0,124945.0,82754.0,2,2025-01,2025-02,,True,2025-01;2025-02
christmas candle rings,40629.0,176093.0,73428.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
christmas tree earrings,40714.0,82286.0,61500.0,2,2025-11,2025-12,,True,2025-11;2025-12
to my daughter necklace,41248.0,199019.0,104364.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
tire chains for trucks,41315.0,128932.0,102687.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
jewelry for teen girls,41792.0,72655.0,57223.5,2,2025-11,2025-12,,True,2025-11;2025-12
pumpkin earrings for women,42347.0,110511.0,76429.0,2,2025-09,2025-10,,True,2025-09;2025-10
march birthstone necklace,42545.0,122227.0,82386.0,2,2025-02,2025-03,,True,2025-02;2025-03
kendra scott heart necklace,42616.0,134227.0,90999.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
prom earrings,42939.0,194494.0,97057.0,4,2025-02,2025-05,,True,2025-02;2025-03;2025-04;2025-05
essence nasal diffuser ring,43606.0,181501.0,112553.5,2,2025-03,2025-04,,True,2025-03;2025-04
bracelet making kit for girls,43728.0,134455.0,103916.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
snowflake necklace,44287.0,75260.0,59773.5,2,2025-11,2025-12,,True,2025-11;2025-12
peridot jewelry,44625.0,104700.0,74662.5,2,2025-07,2025-08,,True,2025-07;2025-08
ultrasonic jewelry cleaner cleaning,44808.0,44808.0,44808.0,1,2025-10,2025-10,,True,2025-10
valentines nail charms,44836.0,109515.0,77175.5,2,2025-01,2025-02,,True,2025-01;2025-02
fake chain,44964.0,155598.0,100281.0,2,2025-09,2025-10,,True,2025-09;2025-10
glow stick necklaces,45442.0,170213.0,143771.0,4,2025-05,2025-10,,True,2025-05;2025-06;2025-09;2025-10
gold arm cuffs,45621.0,182926.0,137646.5,4,2025-04,2025-10,,True,2025-04;2025-07;2025-09;2025-10
necklace for mom,45753.0,144365.0,92111.0,3,2025-05,2025-12,,True,2025-05;2025-11;2025-12
silver arm cuffs,45828.0,45828.0,45828.0,1,2025-10,2025-10,,True,2025-10
rainbow earrings,45921.0,155988.0,112431.0,3,2025-03,2025-06,,True,2025-03;2025-05;2025-06
jewelry box for girls 8-12,45973.0,122095.0,69497.0,3,2025-01,2025-12,,True,2025-01;2025-11;2025-12
kendra scott jewelry for women,46253.0,185656.0,115954.5,2,2025-01,2025-02,,True,2025-01;2025-02
junk socks charms kit,46346.0,132492.0,98378.5,4,2025-07,2025-10,,True,2025-07;2025-08;2025-09;2025-10
ring leader costume woman,46360.0,149947.0,98153.5,2,2025-09,2025-10,,True,2025-09;2025-10
god is first i am second bracelet,46644.0,148846.0,130533.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
christmas brooch,46742.0,74494.0,60618.0,2,2025-11,2025-12,,True,2025-11;2025-12
gold heart earrings,47005.0,198454.0,67115.0,3,2025-01,2025-12,,True,2025-01;2025-02;2025-12
the seven rings nora roberts book 3,47008.0,171753.0,113057.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
new years earrings,47237.0,47237.0,47237.0,1,2025-12,2025-12,,True,2025-12
ring 4k,47474.0,122651.0,69606.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
mothers day bracelet,47631.0,156484.0,102057.5,2,2025-04,2025-05,,True,2025-04;2025-05
lego heart key chain,47891.0,193143.0,61985.0,3,2025-01,2025-07,,True,2025-01;2025-02;2025-07
breast cancer awareness bracelets,48065.0,71488.0,59776.5,2,2025-09,2025-10,,True,2025-09;2025-10
animal tracking bracelet,48095.0,191080.0,120648.5,4,2025-01,2025-12,,True,2025-01;2025-04;2025-11;2025-12
tire chains for suv,48272.0,137616.0,96265.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
halloween glow necklaces,48498.0,48498.0,48498.0,1,2025-10,2025-10,,True,2025-10
4th of july jewelry,48776.0,48776.0,48776.0,1,2025-06,2025-06,,True,2025-06
mom bracelet,48861.0,161770.0,73754.0,3,2025-04,2025-12,,True,2025-04;2025-05;2025-12
red heart earrings,48976.0,83709.0,66342.5,2,2025-01,2025-02,,True,2025-01;2025-02
money chain,49256.0,197819.0,123537.5,2,2025-09,2025-10,,True,2025-09;2025-10
witch earrings,49607.0,162594.0,106100.5,2,2025-09,2025-10,,True,2025-09;2025-10
nasal diffuser nose ring,50192.0,171646.0,98475.0,4,2025-03,2025-11,,True,2025-03;2025-04;2025-10;2025-11
teacher bracelet,50219.0,191384.0,149373.0,4,2025-04,2025-12,,True,2025-04;2025-05;2025-08;2025-12
mardi gras earrings for women,50229.0,119632.0,84930.5,2,2025-01,2025-02,,True,2025-01;2025-02
jewelry making kits for adults women,51071.0,115598.0,83334.5,2,2025-01,2025-02,,True,2025-01;2025-02
personalized jewelry,51258.0,176957.0,114107.5,2,2025-05,2025-06,,True,2025-05;2025-06
prom jewelry set for women,51300.0,177686.0,99177.5,4,2025-02,2025-05,,True,2025-02;2025-03;2025-04;2025-05
puff cuff,51307.0,192469.0,127019.0,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
fall napkin rings,51320.0,172182.0,72601.0,4,2025-08,2025-11,,True,2025-08;2025-09;2025-10;2025-11
fake chains,51858.0,168228.0,110043.0,2,2025-09,2025-10,,True,2025-09;2025-10
green beads necklace,52208.0,99002.0,75605.0,2,2025-02,2025-03,,True,2025-02;2025-03
lucky charm,52394.0,152640.0,113747.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
flashing led halloween rings,52524.0,80236.0,66380.0,2,2025-09,2025-10,,True,2025-09;2025-10
halloween necklace for women,52526.0,151762.0,102144.0,2,2025-09,2025-10,,True,2025-09;2025-10
jingle bell necklace,52652.0,124192.0,88422.0,2,2025-11,2025-12,,True,2025-11;2025-12
aquamarine jewelry,52782.0,145819.0,99300.5,2,2025-02,2025-03,,True,2025-02;2025-03
holiday earrings for women,53251.0,144453.0,91186.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
fall candle rings,53264.0,160291.0,100719.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
grandma necklace,53515.0,137895.0,95705.0,2,2025-05,2025-12,,True,2025-05;2025-12
wwe wrestling ring,53657.0,193324.0,140037.5,4,2025-03,2025-12,,True,2025-03;2025-04;2025-11;2025-12
starfish earrings for women,53794.0,139721.0,96757.5,2,2025-06,2025-07,,True,2025-06;2025-07
graduation tassel photo charm,53972.0,54620.0,54296.0,2,2025-04,2025-05,,True,2025-04;2025-05
small jewelry gift box,54186.0,193118.0,135429.5,4,2025-05,2025-12,,True,2025-05;2025-10;2025-11;2025-12
taylor swift ring engagement,54639.0,54639.0,54639.0,1,2025-12,2025-12,,True,2025-12
ghost earrings for women,54684.0,170008.0,112346.0,2,2025-09,2025-10,,True,2025-09;2025-10
mom jewelry,54689.0,102279.0,78484.0,2,2025-05,2025-12,,True,2025-05;2025-12
witch jewelry,54702.0,183936.0,119319.0,2,2025-09,2025-10,,True,2025-09;2025-10
teen jewelry,54835.0,81364.0,68099.5,2,2025-11,2025-12,,True,2025-11;2025-12
snowflake earrings for women,55250.0,154926.0,105088.0,2,2025-11,2025-12,,True,2025-11;2025-12
christmas charms for jewelry making,55659.0,194473.0,114322.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
son bracelet from mom,55787.0,191514.0,159468.0,4,2025-02,2025-12,,True,2025-02;2025-04;2025-11;2025-12
wicked earrings,55959.0,166448.0,143581.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
patriotic earrings,56437.0,188908.0,169788.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
vampire earrings,56483.0,56483.0,56483.0,1,2025-10,2025-10,,True,2025-10
earrings for women sterling silver,56721.0,146497.0,117131.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-03;2025-12
christmas bracelets for women,56784.0,102302.0,79543.0,2,2025-11,2025-12,,True,2025-11;2025-12
bracelet kit for kids 4-6,56869.0,155164.0,71792.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
christmas lights necklace light up,57174.0,148366.0,102770.0,2,2025-11,2025-12,,True,2025-11;2025-12
valentines day earrings for women,57184.0,63671.0,60427.5,2,2025-01,2025-02,,True,2025-01;2025-02
bug bracelets repellent adult,57300.0,145348.0,91505.0,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
chrollo earrings,57419.0,57419.0,57419.0,1,2025-10,2025-10,,True,2025-10
gold earrings for women 14k real gold,57419.0,121459.0,69209.5,4,2025-01,2025-04,,True,2025-01;2025-02;2025-03;2025-04
girls jewelry ages 8-12,57444.0,184667.0,98985.0,3,2025-04,2025-12,,True,2025-04;2025-11;2025-12
head chain,57541.0,57541.0,57541.0,1,2025-10,2025-10,,True,2025-10
fake jewelry,58092.0,58092.0,58092.0,1,2025-10,2025-10,,True,2025-10
halloween croc charms,58901.0,109225.0,86096.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
rings for girls,59189.0,154430.0,117458.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
demon slayer earrings,59211.0,174769.0,167413.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
sister bracelet,59246.0,172382.0,168695.5,4,2025-05,2025-12,,True,2025-05;2025-08;2025-11;2025-12
halloween rings for kids,59464.0,102846.0,81155.0,2,2025-09,2025-10,,True,2025-09;2025-10
essence rings nose diffuser,59708.0,102198.0,80953.0,2,2025-03,2025-04,,True,2025-03;2025-04
coach earrings,59732.0,187253.0,162121.5,4,2025-09,2025-12,,True,2025-09;2025-10;2025-11;2025-12
4th of july bracelets,59764.0,59764.0,59764.0,1,2025-06,2025-06,,True,2025-06
silver jewelry cleaner machine,60275.0,60275.0,60275.0,1,2025-07,2025-07,,True,2025-07
graduation necklace class of 2025,60514.0,186698.0,123606.0,2,2025-04,2025-05,,True,2025-04;2025-05
halloween bracelets bulk,60550.0,153089.0,106819.5,2,2025-09,2025-10,,True,2025-09;2025-10
graduation bracelet 2025,60830.0,157574.0,109202.0,2,2025-04,2025-05,,True,2025-04;2025-05
heart bracelet,60846.0,187338.0,120443.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-08;2025-12
mermaid jewelry,61063.0,183429.0,122246.0,2,2025-09,2025-10,,True,2025-09;2025-10
kindergarten bracelet mommy and me,61173.0,191315.0,126244.0,2,2025-07,2025-08,,True,2025-07;2025-08
tire chains for cars,61222.0,151124.0,116656.5,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
god is in control bracelet,61421.0,194715.0,128068.0,2,2025-08,2025-09,,True,2025-08;2025-09
heart bracelets for women,61572.0,111222.0,86397.0,2,2025-01,2025-02,,True,2025-01;2025-02
turkey earrings for women,61669.0,61669.0,61669.0,1,2025-11,2025-11,,True,2025-11
ultrasonic jewelry cleaner timer,61810.0,61810.0,61810.0,1,2025-06,2025-06,,True,2025-06
adjusters for loose rings,61943.0,91130.0,86177.0,3,2025-01,2025-03,,True,2025-01;2025-02;2025-03
my little star book necklace for daughter,62046.0,190704.0,126375.0,2,2025-07,2025-08,,True,2025-07;2025-08
valentines day nail charms,62197.0,167004.0,114600.5,2,2025-01,2025-02,,True,2025-01;2025-02
clock necklace,62494.0,183026.0,122760.0,2,2025-09,2025-10,,True,2025-09;2025-10
witch necklace,62521.0,198286.0,130403.5,2,2025-09,2025-10,,True,2025-09;2025-10
halloween charms for jewelry making,62696.0,100512.0,97055.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
christmas bow earrings,63115.0,137437.0,100276.0,2,2025-11,2025-12,,True,2025-11;2025-12
ice ring for neck,63445.0,127861.0,126879.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
playpen pull up rings,63473.0,190772.0,95741.0,3,2025-02,2025-04,,True,2025-02;2025-03;2025-04
4th of july necklaces,63567.0,63567.0,63567.0,1,2025-06,2025-06,,True,2025-06
40 lb bag lucky charms marshmallows only,63712.0,63712.0,63712.0,1,2025-03,2025-03,,True,2025-03
christmas necklaces,63759.0,101496.0,82627.5,2,2025-11,2025-12,,True,2025-11;2025-12
tensor rings,64310.0,64310.0,64310.0,1,2025-02,2025-02,,True,2025-02
mermaid necklace,64529.0,64529.0,64529.0,1,2025-10,2025-10,,True,2025-10
cross bracelet for kids,64594.0,177540.0,121067.0,2,2025-03,2025-04,,True,2025-03;2025-04
december birthstone necklace,64691.0,133573.0,99132.0,2,2025-11,2025-12,,True,2025-11;2025-12
red light up bracelets,64737.0,168924.0,145303.0,3,2025-06,2025-08,,True,2025-06;2025-07;2025-08
patriotic earrings for women,65158.0,160527.0,112842.5,2,2025-05,2025-06,,True,2025-05;2025-06
gothic choker,65272.0,170830.0,118051.0,2,2025-09,2025-10,,True,2025-09;2025-10
silver arm cuffs padme,65397.0,65397.0,65397.0,1,2025-10,2025-10,,True,2025-10
kendra scott bow necklace,65517.0,68212.0,66864.5,2,2025-11,2025-12,,True,2025-11;2025-12
heart nail charms,65597.0,108719.0,87158.0,2,2025-01,2025-02,,True,2025-01;2025-02
daughter necklace from dad,65826.0,196941.0,131383.5,2,2025-11,2025-12,,True,2025-11;2025-12
daughter necklace,66032.0,163750.0,114891.0,2,2025-11,2025-12,,True,2025-11;2025-12
fantasy football ring 2025,66243.0,95845.0,81044.0,2,2025-08,2025-12,,True,2025-08;2025-12
wicked bracelets,66514.0,130125.0,98319.5,2,2025-11,2025-12,,True,2025-11;2025-12
christmas beads for jewelry making,66573.0,148483.0,137765.0,3,2025-10,2025-12,,True,2025-10;2025-11;2025-12
belly button rings for women,66579.0,66579.0,66579.0,1,2025-01,2025-01,,True,2025-01
tulip rings for women,66667.0,66667.0,66667.0,1,2025-01,2025-01,,True,2025-01
house of chains,67067.0,101767.0,100151.5,4,2025-03,2025-09,,True,2025-03;2025-04;2025-05;2025-09
inflatable pool ring,67168.0,67168.0,67168.0,1,2025-05,2025-05,,True,2025-05
gingerbread earrings,67374.0,117223.0,92298.5,2,2025-11,2025-12,,True,2025-11;2025-12
magnetic screw ring,67392.0,67392.0,67392.0,1,2025-12,2025-12,,True,2025-12
lace choker,67497.0,183936.0,125716.5,2,2025-09,2025-10,,True,2025-09;2025-10
rainbow bracelet,67664.0,190704.0,176678.0,3,2025-05,2025-07,,True,2025-05;2025-06;2025-07
mother daughter rings,67785.0,128628.0,117104.5,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
christmas ring,68307.0,106298.0,87302.5,2,2025-11,2025-12,,True,2025-11;2025-12
gold prom earrings,68317.0,111344.0,89830.5,2,2025-03,2025-04,,True,2025-03;2025-04
cliganic mosquito repellent bracelet,68338.0,109042.0,91180.5,4,2025-05,2025-08,,True,2025-05;2025-06;2025-07;2025-08
pirate earrings,68730.0,146787.0,107758.5,2,2025-09,2025-10,,True,2025-09;2025-10
clean pod for jewelry,68938.0,68938.0,68938.0,1,2025-03,2025-03,,True,2025-03
bonus daughter necklace,68980.0,135594.0,102287.0,2,2025-11,2025-12,,True,2025-11;2025-12
to my wife necklace from husband,69039.0,158636.0,113837.5,2,2025-11,2025-12,,True,2025-11;2025-12
shamrock necklace,69091.0,156308.0,112699.5,2,2025-02,2025-03,,True,2025-02;2025-03
snow tire chains,69149.0,170601.0,115272.0,4,2025-01,2025-12,,True,2025-01;2025-02;2025-11;2025-12
graduation bracelet,69495.0,166281.0,117888.0,2,2025-04,2025-05,,True,2025-04;2025-05
nutcracker earrings,69962.0,99249.0,84605.5,2,2025-11,2025-12,,True,2025-11;2025-12
skeleton earrings for women,70126.0,187870.0,128998.0,2,2025-09,2025-10,,True,2025-09;2025-10
bendable necklace,70220.0,172103.0,121161.5,2,2025-01,2025-02,,True,2025-01;2025-02
kentucky derby earrings,70666.0,70666.0,70666.0,1,2025-04,2025-04,,True,2025-04
ultrasonic jewelry cleaner 400ml,70873.0,106314.0,88593.5,2,2025-09,2025-10,,True,2025-09;2025-10
dog tag necklace,70974.0,180947.0,150679.0,3,2025-08,2025-10,,True,2025-08;2025-09;2025-10
homecoming jewelry,71172.0,71172.0,71172.0,1,2025-09,2025-09,,True,2025-09
tymo ring plus hair straightener comb,71438.0,199372.0,102425.5,4,2025-01,2025-04,,True,2025-01;2025-02;2025-03;2025-04
light up halloween rings,71460.0,135148.0,103304.0,2,2025-09,2025-10,,True,2025-09;2025-10
ballerina jewelry box for girls,71476.0,198190.0,125909.5,4,2025-01,2025-12,,True,2025-01;2025-10;2025-11;2025-12
snake arm cuff,71544.0,71544.0,71544.0,1,2025-10,2025-10,,True,2025-10
